"LON","LAT","Slope","Aspect","ELEV","Lodgepole"
-110.647347,40.919162,5,80,9449,7.16
-110.627768,40.994978,5,90,9624,10.12
-110.704289,40.695361,5,191,10529,4.92
-110.465439,40.92383,5,306,10041,22.25
-110.890317,40.670493,5,325,10161,11.28
-109.720771,40.847046,6,90,7973,2.12
-109.700348,40.647852,7,299,8989,21.08
-109.751418,40.779412,7,65,9875,18.82
-110.521008,40.965612,7,123,9707,12.3
-110.532624,40.648894,7,169,10740,3.82
-109.936338,40.645262,8,54,9986,7.95
-110.591531,40.611589,8,73,10300,7.12
-110.938612,40.609713,8,123,10081,5.47
-110.887011,40.831655,9,102,9399,8.77
-110.945884,40.786694,9,151,9048,6.26
-110.349628,40.652055,9,211,10734,4.06
-110.769764,40.650357,9,231,10362,5.92
-110.349571,40.968396,10,80,9279,19.91
-110.409502,40.608009,10,95,9808,9.71
-109.398518,40.772965,10,145,9221,8.71
-110.508369,40.99341,10,154,9510,13.86
-111.062817,40.653884,10,198,9556,7.79
-110.410177,40.744325,10,200,10549,4.48
-110.228116,40.91835,11,293,9398,21.83
-110.361115,40.880786,11,38,10582,9.85
-110.290504,40.604832,11,187,10172,7.43
-109.812287,40.83085,12,37,8772,10.15
-110.574842,40.977274,12,43,8915,6.74
-110.466025,40.874236,12,89,10760,4.32
-110.969546,40.667686,12,175,10066,6.79
-110.944515,40.654411,13,225,9498,7.26
-110.112765,40.649874,13,179,10072,11.35
-109.540928,40.854449,14,226,8125,1.95
-109.761856,40.825617,14,331,8612,18.01
-109.862759,40.823536,14,345,9742,34.75
-109.884425,40.606886,14,360,9571,18.38
-110.641872,40.649424,14,100,10511,4.71
-110.553665,40.625335,15,63,9047,8.92
-110.228786,40.874841,15,10,10309,15.82
-110.73531,40.624995,15,250,10063,8.48
-109.993521,40.691789,15,343,10364,16.9
-109.340794,40.865552,16,340,7476,0.7
-111.07856,40.682034,16,204,9836,7.97
-110.521807,40.920295,16,238,9932,9.38
-110.58674,40.790638,16,50,10442,6.48
-110.463695,40.9649,17,268,9581,15.04
-109.399074,40.826725,17,286,9125,13.92
-110.22992,40.694136,17,105,10301,10.55
-109.519867,40.822375,19,58,9529,15.06
-110.591563,40.918901,19,236,9509,6.82
-110.700854,40.926699,20,62,9645,8.11
-110.567193,40.993653,20,192,9001,5.91
-110.716677,40.65374,20,254,9007,7.5
-110.816648,40.827948,20,345,9198,10.78
-109.581945,40.692402,21,8,8473,8.21
-109.807861,40.726821,21,8,10382,15.5
-110.131246,40.901137,21,142,10063,13.94
-110.762253,40.834446,21,211,10346,3.85
-110.398457,40.915046,22,11,9612,24.52
-109.579709,40.734772,22,260,9644,20.08
-110.114204,40.876622,22,309,10100,27.42
-111.125311,40.653473,23,294,9231,12.79
-110.37674,40.99449,23,318,9098,19.17
-110.395698,40.878838,23,330,10515,12.28
-110.767253,40.925001,25,297,8796,7.54
-110.581514,40.878312,25,60,10207,6.85
-110.800225,40.635227,25,119,10145,8.38
-110.347689,40.696323,25,204,10697,4.46
-110.299999,40.540558,26,62,8667,4.73
-110.28154,40.963311,27,279,9274,17.03
-110.429449,40.540642,28,176,9046,4.83
-109.523838,40.773674,28,201,9664,10.92
-110.890256,40.644317,28,227,9380,7.52
-109.881483,40.651603,28,280,9049,12.51
-110.287366,40.787082,28,148,10909,1.98
-109.422898,40.845093,30,200,8727,5.33
-109.980805,40.875774,30,10,9927,19.19
-111.046856,40.747078,30,270,10088,8.78
-109.48245,40.849329,32,341,8553,7.91
-110.291744,40.560693,32,341,8627,8.47
-110.050368,40.60028,32,175,9606,9.04
-110.228516,40.78737,32,190,10390,3.78
-111.106331,40.689987,33,276,9297,11.88
-109.942074,40.600486,34,66,7306,0.14
-110.531113,40.607577,34,48,8276,2.39
-109.635407,40.825712,35,358,9261,20.75
-110.650163,40.565784,35,180,10534,4.42
-110.415344,40.560146,35,200,10568,3.37
-110.291732,40.696122,35,180,11092,1.8
-110.18533,40.556471,37,53,8500,4.16
-110.349007,40.562899,37,171,8747,3.58
-110.497374,40.545717,38,24,8182,1.14
-110.034205,40.57608,38,275,8896,8.11
-110.466901,40.561745,38,255,9537,6.37
-109.699071,40.823034,38,346,9121,20.77
-110.638563,40.827604,38,260,10911,3.05
-110.56518,40.54774,40,345,9696,11.62
-110.588093,40.650417,40,342,10320,12.5
-110.766639,40.607727,41,55,9894,8.36
-110.524949,40.832487,41,79,10164,7.47
-110.31744,40.994597,43,119,9094,11
-110.701303,40.602835,47,240,8827,5.35
-110.524043,40.874769,50,270,10280,7.84
-110.237933,40.604227,52,112,9495,8.37
-111.062106,40.788366,53,33,8881,4.86
-109.639152,40.872606,55,350,6958,0.14
-111.054951,40.610635,57,298,8467,4.52
-109.746533,40.650313,60,335,8586,11.13
-111.000969,40.740117,64,142,9642,4.31
-110.636408,40.520801,65,290,9426,9.38
-110.878086,40.51724,70,65,9502,7.18
-110.888083,40.607951,76,245,8379,1.95
-110.99989,40.608392,85,130,9151,4.25
-110.879741,40.567276,105,240,8341,1.44
-109.519836,40.872262,6,306,7430,NA
-110.951537,40.559736,6,90,9874,NA
-110.995404,40.562916,6,156,9278,NA
-110.635678,40.871988,6,70,10880,NA
-110.760999,40.695938,7,327,10824,NA
-109.581505,40.868865,8,43,7366,NA
-110.406134,40.832679,8,3,11151,NA
-110.482157,40.518144,9,111,8474,NA
-109.570446,40.555769,10,250,6128,NA
-109.931942,40.828748,10,352,10601,NA
-110.997973,40.517794,11,260,9821,NA
-111.055973,40.566573,12,170,9125,NA
-111.122981,40.834392,12,303,9309,NA
-110.225786,40.651659,13,151,10627,NA
-110.764613,40.517408,14,254,10105,NA
-109.465278,40.68576,15,212,8184,NA
-109.706403,40.596793,17,205,8798,NA
-109.992673,40.830591,17,280,11036,NA
-110.171336,40.739232,17,300,11007,NA
-109.755791,40.554847,20,175,6982,NA
-110.943843,40.927021,20,335,8909,NA
-110.528532,40.788819,20,87,10816,NA
-110.876356,40.687623,20,100,10081,NA
-109.935974,40.695349,21,75,10605,NA
-109.645503,40.55103,22,192,6546,NA
-110.76586,40.562515,22,17,9609,NA
-109.938381,40.919274,22,174,9225,NA
-111.019208,40.682348,22,151,10240,NA
-109.401836,40.862436,23,338,7755,NA
-110.876818,40.742399,23,8,10304,NA
-109.3462,40.644824,24,160,6761,NA
-109.927341,40.553866,25,80,7379,NA
-111.059041,40.695356,25,290,9749,NA
-111.002319,40.701359,25,320,9944,NA
-110.491324,40.619823,25,96,10943,NA
-110.046963,40.738502,25,220,10739,NA
-110.170849,40.876847,25,123,11147,NA
-109.343959,40.600556,28,192,6280,NA
-111.116084,40.558381,28,187,7530,NA
-110.292299,40.651135,28,22,10755,NA
-109.68291,40.908856,30,2,6422,NA
-109.808301,40.964087,30,16,7831,NA
-110.064169,40.684689,30,137,10715,NA
-109.74299,40.935846,31,359,6778,NA
-109.644282,40.689618,31,246,9222,NA
-110.229253,40.56296,32,165,8359,NA
-109.94271,40.96765,33,347,9336,NA
-109.819122,40.689132,33,138,10217,NA
-109.461216,40.645081,34,256,7524,NA
-111.06168,40.880883,35,230,8769,NA
-109.5109,40.961919,37,241,6402,NA
-110.93591,40.521985,37,344,9805,NA
-109.454711,40.822706,38,140,7902,NA
-109.676115,40.932873,40,142,6246,NA
-111.064266,40.923687,40,158,7673,NA
-110.111437,40.606594,40,218,7844,NA
-110.388002,40.540576,40,55,9153,NA
-109.878431,40.916846,42,72,8457,NA
-109.524745,40.730602,42,244,8439,NA
-109.988011,40.919245,45,210,9538,NA
-110.055172,40.92061,45,165,10000,NA
-110.822666,40.562147,49,311,10202,NA
-109.452717,40.872412,50,50,6980,NA
-110.167932,40.595697,50,331,10010,NA
-109.920938,40.933937,51,255,8068,NA
-109.99543,40.606318,51,355,8928,NA
-110.348709,40.601039,53,223,8225,NA
-110.462838,40.698581,55,355,10674,NA
-109.455925,40.915068,60,320,6069,NA
-109.81987,40.651464,60,73,8896,NA
-110.82258,40.784914,60,147,10381,NA
-109.605513,40.935883,65,160,6738,NA
-110.177388,40.645871,70,65,8071,NA
-110.708795,40.83536,74,336,10595,NA
-109.644761,40.642409,75,118,7809,NA
-110.998152,40.787639,75,64,8241,NA
-110.70172,40.566534,75,114,8685,NA
-110.939144,40.746379,80,220,9544,NA
